threshold,n_caught,n_missed,avg_lead_time_cycles,total_cost
1,1,39,5.0,392175
2,7,33,3.0,344735
3,14,26,3.0,289470
4,19,21,3.8,250555
5,24,16,4.3,211605
6,30,10,5.0,165215
7,33,7,6.0,142895
8,39,1,6.6,96995
9,40,0,7.2,90045
10,40,0,8.0,91165
11,40,0,8.8,92320
12,40,0,9.9,93895
13,40,0,11.1,95575
14,40,0,12.2,97080
15,40,0,13.2,98515
16,40,0,14.1,99740
17,40,0,16.1,102575
18,40,0,17.1,103905
19,40,0,18.3,105620
20,40,0,19.2,106810
25,40,0,23.4,112760
30,40,0,27.8,118990
35,40,0,33.5,126900
40,40,0,39.2,134915
45,40,0,43.1,140340
50,40,0,48.4,147690
55,40,0,52.6,153675
60,40,0,55.6,157910
65,40,0,61.7,166345
70,40,0,65.4,171595
75,40,0,69.5,177300
80,40,0,75.6,185770
85,40,0,81.7,194345
90,40,0,85.7,199980
95,40,0,92.7,209815
100,40,0,105.7,227945
105,40,0,119.2,246845
110,40,0,139.4,275090
115,40,0,168.9,316425
120,40,0,191.7,348415
